name,series_len,max_shape,min_shapes,avg_shape,std_shape,indx_max,indx_min,pos_max,pos_min,num_crops,num_peaks,num_zero_len,Q1,Q3,IQR,max_x_raw,min_x_raw,max_x_filtered,min_x_filtered,Q1-1.5IQR,Q3+1.5IQR,Q1-3IQR,Q3+3IQR,90thP,10thP,95thP,05thP,below_1.5IQR,above_1.5IQR,below_3IQR,above_3IQR,below_10th,above_90th,below_05th,above_95th
S060_128.mat,230402,232,43,118,22,1407,790,159078,82709,1939,1939,1,105.0,132.0,27.0,38.2677648085573,-47.4225563863589,1.0,0.0,64.5,172.5,24.0,213.0,143.0,97.0,154.0,86.0,36,35,1,2,186,180,93,95
S061_128.mat,230090,290,30,122,32,0,937,290,103677,1880,1880,1,99.75,143.0,43.25,244.504194396822,-290.432418523929,0.9999999999999999,0.0,34.875,207.875,-30.0,272.75,162.0,86.0,176.0,74.0,2,20,0,1,181,185,88,93
S062_128.mat,230373,154,18,81,17,520,2828,45217,229951,2831,2831,0,71.0,91.0,20.0,145.063061288172,-121.936422994889,1.0,0.0,41.0,121.0,11.0,151.0,102.0,58.0,111.5,52.0,39,66,0,1,279,270,136,142
S079_250.mat,450000,257,64,140,24,3179,1073,446090,150850,3207,3207,1,131.0,150.0,19.0,263.292060210668,-325.126658107846,0.9999999999999998,0.0,102.5,178.5,74.0,207.0,167.0,110.0,181.69999999999982,97.0,216,191,19,50,312,320,155,161
S080_250.mat,450000,349,79,207,28,1452,298,297373,58321,2168,2168,1,196.0,219.0,23.0,28.6636902519241,-29.6923562297004,1.0,0.0,161.5,253.5,127.0,288.0,234.0,179.0,251.6500000000001,162.0,105,105,43,29,207,216,105,109
S081_250.mat,450000,378,90,205,25,431,742,91447,156883,2191,2191,1,191.0,218.0,27.0,32.5381571170275,-26.0582724318451,1.0,0.0,150.5,258.5,110.0,299.0,231.0,178.0,243.0,168.5,48,68,11,13,210,217,110,106
S082_250.mat,450000,369,65,194,46,2120,521,406508,103827,2314,2314,1,165.25,221.0,55.75,150.783553160306,-239.696214166456,0.9999999999999999,0.0,81.625,304.625,-2.0,388.25,249.70000000000027,135.0,276.0,112.0,14,38,0,0,231,232,112,115
S083_250.mat,450000,341,65,187,33,446,900,81084,171846,2395,2395,1,168.0,207.0,39.0,17.4486922629015,-17.351318066854,1.0,0.0,109.5,265.5,51.0,324.0,221.0,149.0,240.29999999999973,132.0,53,40,1,1,235,236,119,120
S084_250.mat,450000,401,27,216,48,1463,2071,308921,449577,2073,2073,0,189.0,237.0,48.0,342.163096066071,-368.501646993993,1.0,0.0,117.0,309.0,45.0,381.0,273.0,159.0,301.0,132.0,66,89,1,5,202,207,103,102
S085_250.mat,450000,1162,85,222,47,1355,313,289579,61709,2025,2025,1,196.0,242.0,46.0,34.6106464329561,-38.5403858485909,1.0,0.0,127.0,311.0,58.0,380.0,259.0,174.0,282.0,162.2,24,34,1,3,194,199,102,99
S086_250.mat,450000,479,68,207,47,0,1009,479,220252,2166,2166,1,179.0,237.0,58.0,181.699267376959,-225.139558638499,1.0,0.0,92.0,324.0,5.0,411.0,273.0,154.0,287.0,135.0,11,41,1,2,215,205,106,106
S087_250.mat,450000,362,63,190,32,209,1300,41607,246023,2368,2368,1,170.0,208.0,38.0,24.9989434172176,-28.5323700980201,1.0,0.0,113.0,265.0,56.0,322.0,228.0,156.0,241.6500000000001,134.35000000000002,52,39,1,4,232,232,119,119
S088_250.mat,450000,282,58,152,27,1382,1205,211016,184094,2957,2957,1,142.0,162.0,20.0,459.441418214599,-335.495523721958,1.0,0.0,112.0,192.0,82.0,222.0,182.0,119.0,202.19999999999982,99.0,238,204,43,58,295,284,146,148
S089_250.mat,450000,393,76,205,34,0,452,393,96126,2192,2192,1,184.0,226.0,42.0,17.6298852799343,-17.9912033979299,0.9999999999999999,0.0,121.0,289.0,58.0,352.0,249.0,169.0,265.0,155.0,23,34,1,5,218,215,106,106
