name,filt_mean,filt_std,filt_median,filt_IQR,filt_max,filt_min,raw_mean,raw_std,raw_median,raw_IQR,raw_max,raw_min,apg_mean,apg_std,apg_median,apg_IQR,apg_max,apg_min,vpg_mean,vpg_std,vpg_median,vpg_IQR,vpg_max,vpg_min,jpg_mean,jpg_std,jpg_median,jpg_IQR,jpg_max,jpg_min
S023_128,-4.520167231563304e-05,8.957894040910793,-0.04894416018829665,2.353119942092711,130.05541686433844,-132.2861768712573,2.239037839469169e-15,12.86756257420101,-0.03003912272683235,2.583487048518185,275.491187767075,-193.032037005405,2.050031026324636e-08,0.05721876956680943,-0.00020000495937210622,0.015072897604365424,0.9616757313913205,-0.9360184637074056,-4.810720777497163e-07,0.6109160141684038,-0.01610525073946497,0.15152767812520318,8.261412968904814,-8.481024942940742,1.8916844349659096e-09,0.006855176019936886,3.307074775431946e-05,0.0017915167585088646,0.11978020945070167,-0.11815024627912818
S024_128,-0.0007303876065356366,5.034009165741106,-0.07957495217754551,2.0359436724188757,96.14984814734282,-83.26623549129098,1.4535451558101028e-14,7.025670682027185,-0.0227425921114251,2.25478963677787,124.967406262803,-98.9318755487679,3.213363470080592e-07,0.028914959223893224,0.00010717889508950543,0.017991640298995755,0.4873475239140994,-0.6984967575451648,-3.6059567451600265e-06,0.3227249723804912,-0.018079473819977356,0.17293246044036664,6.194224508430786,-7.070656498026333,2.8497185705647475e-08,0.0033929494970802677,3.451535090095558e-05,0.00274672780629335,0.06605711394921632,-0.06865505017183526
S025_128,-1.580516406881132e-05,1.7112008155501863,-0.060995016261673425,1.7356095718972706,17.857479350614458,-14.692817565476181,4.696375512502231e-15,2.199827334581668,-0.0290896947670052,2.014027666284486,24.9913603501306,-22.8270051860454,9.103428328610953e-09,0.01449789366402665,9.397827949414461e-05,0.017844343080451935,0.13732880802368053,-0.14550441252400326,7.251628047282122e-08,0.13503455079156168,-0.012502429700625373,0.15312861268682748,1.488223903982334,-1.1483907199410721,7.494465747381143e-10,0.0018527815202459233,2.4599138565339906e-05,0.00246594626750693,0.014841824619444055,-0.01803255259724279
S026_128,-4.9077833280338554e-05,6.383591167723979,-0.06389913718431925,2.0183310065014477,83.0841653575047,-83.06219445999336,4.4419446298894645e-15,9.27541242193724,-0.0324437676087016,2.409445457234915,136.142521029633,-153.300409076849,5.87040604507703e-08,0.03660723635916517,0.00038336235993131906,0.018836719816677904,0.5359315037836279,-0.4997167580112638,6.651374501017156e-07,0.40695223919734075,-0.018582698399655595,0.16972651526960758,5.2790266247479325,-5.679434675989614,5.4289117511689e-09,0.004302554131214754,1.3681046185903822e-05,0.0028397336118568105,0.06893876125129128,-0.06282590724089276
S027_128,1.643328817028813e-05,2.8355222977863486,-0.05137544832055371,1.562312609007236,33.960818109281874,-33.05040649512182,3.5848746354583205e-15,3.959405378576747,-0.0897817400833482,2.23568181918207,65.3181310517789,-50.1708953499107,-7.60968975904122e-09,0.022158568084013303,7.91374429225597e-05,0.01017936719311195,0.2950720200190231,-0.2906045262903625,1.0307287877819082e-06,0.21488077696618096,-0.01336618080519103,0.1064324757868519,2.8954307950296734,-2.6847885213859337,-9.402220658954748e-10,0.0027798832249538827,1.950628083677297e-05,0.001181714262094069,0.035229814204880805,-0.038113908155188225
S028_128,-6.442978270628384e-05,7.541572951230566,0.023233767229722806,2.386325764775209,154.62820828872898,-144.4277625497748,6.2412566786123635e-15,10.623579345816315,0.055129421291634,2.47583145746622,214.611695542291,-199.009047449642,2.1472566433423146e-08,0.03935093690890089,-0.00039115865927216026,0.00864313045832743,0.6455224837129236,-0.6282344055355154,-8.344856262304164e-07,0.46436050155162945,-0.018284438446893092,0.11335799299069077,9.106769664865524,-8.084383545583695,1.8185170321539314e-09,0.004322251887967087,1.9896387715698238e-05,0.0008807803539894188,0.0805982702000887,-0.07190450781130764
S029_128,-8.852932004304177e-05,14.99902087467915,-0.057250452280430825,2.3459116816985444,296.7893634591559,-366.85166579456677,8.22627489968756e-15,21.896110497152456,0.0146626640343702,2.4796181407443,627.595770147794,-581.177547400369,1.143237515194579e-09,0.09531665215558104,-0.00018978129810809374,0.017382493915491404,1.9817028568567139,-1.7924406349966944,-9.042749909767712e-07,1.0184857516394867,-0.014993857735614066,0.16598631677053582,25.035330548437315,-18.35840253291076,-2.8710714413458178e-09,0.011465536702578416,6.316054279675853e-05,0.0020934800940722864,0.24483587356831782,-0.22480327444355286
S030_128,-5.072883963597234e-05,15.256463996645131,-0.07027768571844391,2.3132809121397373,216.7401832390371,-309.5941164220305,-5.033906835680323e-15,20.229997818096855,-0.0835828283191737,2.4482091800040005,280.329374234776,-391.249091627796,6.174345556320256e-08,0.08595660645431251,0.0002840192358539717,0.01553029493443376,1.427149553438685,-1.5213323434375852,5.909996319894326e-07,0.9534094153127298,-0.021974261289125274,0.16285454412665726,13.143690712005665,-15.605921352536713,-2.229028827760113e-08,0.010125320048584978,3.757171455875258e-05,0.001884837481885969,0.1988257782317846,-0.17673135955742802
S031_128,-5.048955568819068e-05,11.663975551494614,-0.07971565388019541,2.1876650168047753,196.41270725283272,-187.31388451996264,4.116359064389825e-15,15.823360929123146,-0.0756086266373759,2.32760001846701,252.418536487305,-338.393266576863,1.4089236262636758e-08,0.06291418662531323,0.00022321311798323418,0.012721810837856784,1.1722383965007737,-1.1901230811164112,-3.608354365908366e-07,0.738470781796816,-0.024467295642318858,0.13879440344989513,11.734259091764724,-12.334425392128257,1.4047402465529512e-09,0.0070234262173265605,6.938143515766715e-06,0.001493359991959542,0.16294285812395692,-0.12530192538567242
S032_128,0.00023408688189980532,2.275106161583974,-0.06704840790409958,2.0621328294147068,19.795628469794135,-20.404992614553063,1.111623174757255e-14,3.075653584127789,-0.0753055564142822,2.28150338473412,24.5069678798895,-30.0428582888279,6.243986282283875e-09,0.01595710094969243,0.00017255277078824516,0.010982199699957295,0.18667088304678936,-0.1570550127414383,2.7923724902457125e-06,0.16080856300271346,-0.027891962831771533,0.12107374462381043,1.625111234908923,-1.6005769512362713,7.1089601123892505e-09,0.0019788482235455944,1.0720107244968635e-05,0.001319900183715375,0.023441979353313158,-0.021686095556478602
S033_128,-2.3799715448058396e-05,3.0829209181977024,-0.001670652124041827,1.897084778461605,30.802803310208724,-32.191796785837795,5.41132731850816e-15,4.282039447865477,-0.0271654594476844,2.32871452540392,42.1499716887824,-48.5662604821342,2.4839897464635714e-09,0.019379913481175227,-6.292855988747348e-05,0.021187228416023274,0.19307362892642477,-0.17899500727305284,1.198860303380819e-06,0.20833443119806408,-0.0019208893812174832,0.1931495074609126,2.058482280473376,-2.1484809924003736,1.2856209823577507e-09,0.0022324481354528344,2.196407383261989e-05,0.0023762181409051307,0.0239678439264569,-0.02155717515955613
S034_128,-6.01466681197173e-06,5.452456259135614,-0.049380960536485066,1.9806920501583283,87.58287252251412,-76.35483318860445,-8.254666744518054e-15,7.681769923258396,-0.0370536399609088,2.26869256574641,128.21246132512,-100.710883309743,-8.996365288870305e-09,0.025948183569425153,-0.00013300212098108985,0.01170863584610676,0.5446227978976914,-0.6376956029367804,-9.74654642246677e-07,0.3187058379931917,-0.015773441431839938,0.11960786776055962,5.99883321648106,-4.97158335864836,-1.0597464457617e-09,0.002837153241605405,2.73200448027075e-05,0.001452600245679299,0.06796444935125123,-0.08551427220295604
S035_128,-0.00012321363335573814,2.3526050634824807,-0.03845202075182813,1.8599971127474533,28.37184170387114,-23.181394284332846,2.2686787812731137e-15,3.1376589375886086,-0.02424581726517465,2.18805883778779,38.6287067508203,-41.519805034205,1.657020448207489e-08,0.015702338944740785,-7.560101746374032e-05,0.01196142895618909,0.2012609257090192,-0.20897325215954687,-1.7685465526516538e-06,0.16235898747875005,-0.017129194493963662,0.11500347175600426,1.6730070266618857,-2.0970825085582367,3.634273029130508e-09,0.0019118475249872205,2.899242506519857e-05,0.0014730885711149687,0.026484449664562537,-0.023889243037250485
S036_128,-9.0612591408984e-05,3.5665745113595175,-0.028713903716064092,2.193977403077774,41.011874683689854,-61.9071016549677,-1.4007625685046337e-15,4.746459351461193,-0.07596389262289704,2.5276284644480027,60.3933051783111,-78.5235383117596,5.5981782762294303e-08,0.023452457153072516,0.00046226218890772774,0.017327541269976134,0.3642416937621462,-0.3353761157815143,-3.0480382033548476e-06,0.24339351744065968,-0.019279105289393916,0.1680505032793731,3.8520785559176858,-3.0118710270774294,3.4537485030927194e-10,0.0028686918240566706,6.0838867289352005e-05,0.0021770614712891476,0.03693240811980969,-0.039562748596238095
S037_128,-3.0301756709956618e-05,1.4159440579563303,-0.05513918171634842,1.8198937096425059,10.194816102419885,-10.071089873931262,1.7014541267380995e-15,1.7284752197570938,-0.0647683274135138,2.0455699799788576,13.7847430708267,-17.3472626412129,1.6176612006163814e-08,0.008996649986519037,0.00020235386676160927,0.0076227546025458654,0.09780533068774933,-0.10013053480424494,-6.640682523738428e-07,0.09552788090744244,-0.02531950369508331,0.09279100675137021,0.9805078158406986,-1.0130631524188882,1.6878933038967909e-09,0.001078495280214842,1.4838240844802092e-05,0.0009442787008202445,0.011948214459626072,-0.010154746999980202
S038_128,-0.00014204418910359007,1.8766761038361544,-0.08706693477318495,1.929454525720062,31.03643821601431,-26.08637824556463,1.7486220604347973e-14,2.3750373441074695,-0.0677774067822156,2.11072816627152,40.6308342053323,-34.3880647401063,8.472119826170987e-08,0.015651406766795432,0.0003180989779909271,0.014741949058238855,0.224931690582876,-0.206037528683634,-1.7030735986105504e-06,0.1480142394138228,-0.031163930043973317,0.15155938318188217,1.8140803009757325,-2.033092525681077,9.414007463513265e-09,0.0020232679273053393,5.7348810398216016e-05,0.002170153077844062,0.027459671290698484,-0.03191448796261598
