name,series_len,max_shape,min_shapes,avg_shape,std_shape,indx_max,indx_min,pos_max,pos_min,num_crops,num_peaks,num_zero_len,Q1,Q3,IQR,max_x_raw,min_x_raw,max_x_filtered,min_x_filtered,Q1-1.5IQR,Q3+1.5IQR,Q1-3IQR,Q3+3IQR,90thP,10thP,95thP,05thP,01thP,99thP,below_1.5IQR,above_1.5IQR,below_3IQR,above_3IQR,below_10th,above_90th,below_05th,above_95th,below_01th,above_99th
S031_128.mat,230309,283,38,103,18,2227,1788,230308,184688,2228,2228,0,97.0,110.0,13.0,252.418536487305,-338.393266576863,196.41270725283272,-187.31388451996264,77.5,129.5,58.0,149.0,124.0,82.0,133.6500000000001,72.35000000000001,52.0,157.73000000000002,174,154,40,34,221,212,112,112,22,23
S032_128.mat,230299,307,24,106,25,2157,603,230298,61219,2158,2158,0,102.0,118.0,16.0,24.5069678798895,-30.0428582888279,19.795628469794135,-20.404992614553063,78.0,142.0,54.0,166.0,129.0,64.0,140.0,50.0,39.57,161.42999999999984,297,96,137,17,212,214,101,104,22,22
S033_128.mat,230443,216,16,54,10,4255,2512,230442,133411,4256,4256,0,48.75,59.0,10.25,42.1499716887824,-48.5662604821342,30.802803310208724,-32.191796785837795,33.375,74.375,18.0,89.75,64.0,41.0,70.0,33.0,25.0,84.0,219,114,7,12,384,405,189,190,39,35
S034_128.mat,230158,326,46,125,26,1838,1621,230157,202357,1839,1839,0,113.0,141.0,28.0,128.21246132512,-100.710883309743,87.58287252251412,-76.35483318860445,71.0,183.0,29.0,225.0,152.20000000000005,96.0,170.0,76.0,58.379999999999995,199.6199999999999,70,57,0,1,183,184,89,87,19,19
S035_128.mat,230162,342,32,129,19,1770,904,230161,115486,1771,1771,0,123.0,137.0,14.0,38.6287067508203,-41.519805034205,28.37184170387114,-23.181394284332846,102.0,158.0,81.0,179.0,147.0,112.0,159.0,100.0,68.7,192.29999999999995,98,91,38,27,172,169,89,87,18,18
S036_128.mat,230334,237,26,73,15,3120,2429,230333,178169,3121,3121,0,65.0,82.0,17.0,60.3933051783111,-78.5235383117596,41.011874683689854,-61.9071016549677,39.5,107.5,14.0,133.0,91.0,53.0,99.0,47.0,39.0,116.0,37,85,0,5,305,304,126,155,28,28
S037_128.mat,230420,1603,45,125,38,1640,685,204288,83366,1835,1835,0,118.0,131.0,13.0,13.7847430708267,-17.3472626412129,10.194816102419885,-10.071089873931262,98.5,150.5,79.0,170.0,142.0,106.0,151.0,100.0,76.68,177.66000000000008,85,95,20,30,181,180,90,89,19,19
S038_128.mat,230355,242,35,80,10,2849,685,230354,56111,2850,2850,0,78.0,83.0,5.0,40.6308342053323,-34.3880647401063,31.03643821601431,-26.08637824556463,70.5,90.5,63.0,98.0,89.0,72.0,97.54999999999973,62.0,48.0,114.0,252,253,147,133,274,275,139,143,28,25
S039_128.mat,230235,316,30,107,18,2137,885,230233,92865,2138,2138,0,99.0,117.0,18.0,168.062286203,-167.414698067466,78.55261124582495,-117.08737057391414,72.0,144.0,45.0,171.0,127.0,87.0,137.0,76.85000000000001,56.370000000000005,158.0,79,59,4,9,210,211,107,100,22,21
S040_128.mat,230315,271,22,72,25,3158,1730,230314,133966,3159,3159,0,53.0,96.0,43.0,11.9023928246983,-11.9375151933749,9.224007687797462,-9.255888030091937,-11.5,160.5,-76.0,225.0,109.0,50.0,118.0,46.0,38.0,139.0,0,6,0,1,275,302,141,153,29,30
